id,hdate,product,price
17640,2016-08-19,4,1417.69995
17641,2016-08-22,4,1418.40002
17642,2016-08-23,4,1408.60999
17643,2016-08-24,4,1413.58997
17644,2016-08-25,4,1431.81006
17645,2016-08-26,4,1422.95996
17646,2016-08-29,4,1398.46997
17647,2016-08-30,4,1397.03003
17648,2016-08-31,4,1399.83997
17649,2016-09-01,4,1381.94995
17650,2016-09-02,4,1384.77002
17651,2016-09-05,4,1394.16003
17652,2016-09-06,4,1390.998
17653,2016-09-07,4,1388.34998
17654,2016-09-08,4,1391.92004
17655,2016-09-09,4,1382.38
17656,2016-09-13,4,1346.93994
17657,2016-09-14,4,1331.05005
17658,2016-09-15,4,1358.30005
17659,2016-09-16,4,1357.68396
17660,2016-09-19,4,1371.96704
17661,2016-09-20,4,1372.92896
17662,2016-09-21,4,1381.79504
17663,2016-09-22,4,1389.72998
17664,2016-09-23,4,1385.25696
17665,2016-09-26,4,1384.45703
17666,2016-09-27,4,1409.28601
17667,2016-09-28,4,1406.61804
17668,2016-09-29,4,1418
17677,2016-09-30,4,1397.28503
17678,2016-10-03,4,1427.71301
17691,2016-10-04,4,1428.70398
17692,2016-10-05,4,1412.87695
17693,2016-10-06,4,1416.26501
17694,2016-10-07,4,1412.56104
17704,2016-10-10,4,1405.53406
17705,2016-10-11,4,1415.619
17706,2016-10-12,4,1418.038
17713,2016-10-13,4,1419.734
17714,2016-10-14,4,1432.137
17721,2016-10-17,4,1448.91895
17722,2016-10-18,4,1452.479
17726,2016-10-19,4,1457.88196
17730,2016-10-20,4,1456.78894
17734,2016-10-21,4,1452.291
17738,2016-10-24,4,1469.805
17742,2016-10-25,4,1480.48
17746,2016-10-26,4,1500.086
17750,2016-10-27,4,1508.881
17754,2016-10-28,4,1503.595
17758,2016-10-31,4,1511.867
17762,2016-11-01,4,1508.914
17766,2016-11-02,4,1504.633
17770,2016-11-03,4,1485.108
17774,2016-11-04,4,1499.383
17778,2016-11-07,4,1512.046
17782,2016-11-08,4,1535.277
17787,2016-11-09,4,1522.94
17794,2016-11-10,4,1551.628
17795,2016-11-11,4,1513.523
17799,2016-11-14,4,1479.606
17803,2016-11-15,4,1444.885
17807,2016-11-16,4,1477.881
17811,2016-11-17,4,1473.917
17815,2016-11-18,4,1465.234
17819,2016-11-21,4,1476.397
17823,2016-11-22,4,1492.562
17827,2016-11-23,4,1494.447
17831,2016-11-24,4,1474.498
17835,2016-11-25,4,1478.852
17839,2016-11-28,4,1481.57495
17843,2016-11-29,4,1487.90796
17847,2016-11-30,4,1505.52905
17851,2016-12-01,4,1509.1
17855,2016-12-02,4,1525.129
17859,2016-12-05,4,1536.024
17863,2016-12-06,4,1541.789
17867,2016-12-07,4,1534.71
17871,2016-12-08,4,1549.49902
17875,2016-12-09,4,1548.02
17879,2016-12-13,4,1543.254
17883,2016-12-14,4,1543.254
17887,2016-12-15,4,1535.046
17891,2016-12-16,4,1529.307
17895,2016-12-19,4,1512.9
17899,2016-12-20,4,1497.714
17903,2016-12-21,4,1493.583
17907,2016-12-22,4,1476.389
17911,2016-12-23,4,1471.621
17915,2016-12-26,4,1471.621
17919,2016-12-28,4,1508.762
17923,2016-12-27,4,1479.781
17927,2016-12-29,4,1528.304
17931,2016-12-30,4,1521.071
17935,2017-01-03,4,1518.25806
